CREATION_DATE,REGNO,FLT_NUM,STNFR,STNTO,AHRS,ACYC,N1EGTA,N1GLA,N1WB,N1PT,N1P2A,N1LCOT,N1LCIT,N1IGV,N1SCV,N1LOT,N1HOT,V1STA,V1EGTP,V1NPA,V1LOT,V1LCIT
2023-01-20 0:27,HL7587,KE0664,HKT,ICN,38700,30651,579,43,818,51.8,13.8,187,28,18,64,114,95,52,704,47,83,39
2023-01-20 0:53,HL7710,KE0634,DPS,ICN,52707,40247,562,50,816,51.4,13.6,191,31,18,61,116,96,50,646,43,10,16
2023-01-20 1:06,HL7586,KE0672,KUL,ICN,23328,15463,562,50,816,52.8,13.9,186,33,18,58,115,97,46,721,44,14,13
2023-01-20 12:23,HL7553,KE2102,HND,GMP,38904,30500,519,50,823,53.6,13.8,176,21,17,60,107,86,46,563,49,33,11
2023-01-20 14:01,HL7586,KE0704,NRT,ICN,23333,15465,534,66,824,55.2,13.8,174,18,17,58,111,92,44,628,46,31,6
2023-01-20 14:13,HL7524,KE0792,FUK,ICN,46987,36043,515,47,825,55.3,13.7,174,17,17,63,105,84,45,557,48,37,10
2023-01-20 14:14,HL7709,KE0766,CTS,ICN,49484,38135,494,60,829,57.5,13.8,166,3,16,64,111,87,46,543,40,27,3
2023-01-20 14:41,HL7702,KE0622,MNL,ICN,16256,10405,587,75,815,52.9,13.8,195,35,18,63,121,98,49,630,44,30,22
2023-01-20 17:59,HL7720,KE0458,DAD,ICN,48655,36223,555,67,824,53.5,13.8,184,22,17,66,114,95,45,620,45,17,11
2023-01-21 10:32,HL7586,KE0788,FUK,ICN,23339,15471,516,55,827,57.2,14.1,170,13,17,58,107,90,44,632,45,45,11
2023-01-21 10:50,HL7540,KE1174,CJU,GMP,46800,34095,514,39,830,56.7,14.2,160,5,17,63,105,86,44,568,46,54,11
2023-01-21 12:17,HL7553,KE2102,HND,GMP,38917,30505,516,51,824,54.5,13.9,174,19,17,60,107,86,45,562,49,34,11
2023-01-21 13:22,HL7720,KE0186,TPE,ICN,48661,36226,535,63,824,54,13.8,180,18,17,66,112,92,45,593,46,30,11
