Date,Aircraft,Flight,Departure,Arrival,APU_Oil_Temperature_Max,Load_Compressor_Inlet_Temperature,,,Compensated,,,Ulaanbaatar_temp,Incheon_temp,Dubai_temp,Danang_temp
2025-07-09 16:56,HL8025,KAL952,OMDB,RKSI,110,37,,,,,,,,,
2025-07-09 15:24,HL7585,KAL672,WMKK,RKSI,94,29,,,,,,,,,
2025-07-09 11:52,HL7701,KAL719,RKSI,RJTT,100,29,,,95.2,,,,,,
2025-07-09 11:09,HL8026,KAL407,RKSI,YBBN,104,39,,,87.2,,,,,,
2025-07-09 10:18,HL7584,KAL1312,RKPC,RKSS,99,31,,,,,,,,,
2025-07-09 10:13,HL8002,KAL689,RKSI,VDPP,109,42,,,88.6,,,,,,
2025-07-09 9:21,HL8027,KAL726,RJBB,RKSI,99,37,,,,,,,,,
2025-07-09 8:32,HL7554,KAL713,RKSI,RJAA,103,45,,,79,,,,,,
2025-07-09 8:15,HL8003,KAL870,ZYTL,RKSI,109,47,,,,,,,,,
2025-07-09 6:29,HL8027,KAL725,RKSI,RJBB,103,41,,,83.8,,,,,,
2025-07-09 5:53,HL8003,KAL869,RKSI,ZYTL,110,48,,,82.4,,,,,,
2025-07-09 4:59,HL8026,KAL198,ZMCK,RKSI,99,32,,,,,,,,,
2025-07-09 4:43,HL7710,KAL828,ZGSZ,RKSI,108,45,,,,,,,,,
2025-07-09 4:39,HL8002,KAL812,ZLXY,RKSI,109,40,,,,,,,,,
2025-07-09 3:34,HL7702,KAL894,ZSPD,RKSI,104,37,,,,,,,,,
2025-07-09 2:36,HL7586,KAL1188,RKPC,RKSS,100,35,,,,,,,,,
2025-07-09 2:31,HL8003,KAL832,ZYTX,RKSI,111,45,,,,,,,,,
2025-07-09 2:19,HL7709,KAL1081,RKSS,RKPC,103,40,,,,,,,,,
2025-07-09 1:26,HL7584,KAL1174,RKPC,RKSS,99,31,,,,,,,,,
2025-07-09 1:06,HL7720,KAL657,RKSI,VTBS,111,35,,,99,,,,,,
2025-07-09 0:12,HL8002,KAL811,RKSI,ZLXY,110,42,,,89.6,,,,,,
2025-07-08 23:34,HL7587,KAL648,WSSS,RKSI,98,30,,,,,,,,,
2025-07-08 23:24,HL8026,KAL197,RKSI,ZMCK,105,39,,,88.2,,,,,,
2025-07-08 23:01,HL7585,KAL131,RKSI,ZHCC,97,31,,,89.8,,,,,,
2025-07-08 18:45,HL8027,KAL952,OMDB,RKSI,104,43,,,,,,,,,
2025-07-08 17:02,HL7701,KAL690,VDPP,RKSI,98,27,,,,,,,,,
2025-07-08 15:27,HL8002,KAL672,WMKK,RKSI,105,39,,,,,,,,,
2025-07-08 13:40,HL8026,KAL498,VIDP,RKSI,108,44,,,,,,,,,
2025-07-08 11:45,HL7710,KAL719,RKSI,RJTT,105,41,,,85.8,,,,,,
2025-07-08 11:03,HL7709,KAL1318,RKPC,RKSS,98,33,,,,,,,,,
2025-07-08 8:59,HL7702,KAL634D,WADD,RKSI,98,33,,,,,,,,,
2025-07-08 7:39,HL8002,KAL671,RKSI,WMKK,110,43,,,88.4,,,,,,
2025-07-08 5:44,HL8027,KAL951,RKSI,OMDB,105,42,,,84.6,,,,,,
2025-07-08 5:28,HL7586,KAL1348,RKPC,RKSS,102,38,,,,,,,,,
2025-07-08 4:53,HL7587,KAL198,ZMCK,RKSI,93,20,,,,,,,,,
2025-07-08 4:49,HL8026,KAL497,RKSI,VIDP,109,43,,,87.4,,,,,,
2025-07-08 4:32,HL7585,KAL138,ZHHH,RKSI,105,37,,,,,,,,,
2025-07-08 3:43,HL8002,KAL806,ZBTJ,RKSI,107,41,,,,,,,,,
2025-07-08 3:11,HL7554,KAL657,RKSI,VTBS,109,45,,,85,,,,,,
2025-07-08 2:34,HL7709,KAL1188,RKPC,RKSS,98,34,,,,,,,,,
2025-07-08 2:24,HL8027,KAL832,ZYTX,RKSI,104,41,,,,,,,,,
2025-07-08 1:37,HL7584,KAL1174,RKPC,RKSS,100,34,,,,,,,,,
2025-07-08 0:25,HL8025,----------,----,----,96,28,,,,,,,,,
2025-07-08 0:12,HL7701,KAL827,RKSI,ZGSZ,99,28,,,95.4,,,,,,
2025-07-07 23:40,HL7720,KAL648,WSSS,RKSI,106,32,,,,,,,,,
2025-07-07 23:08,HL8027,KAL831,RKSI,ZYTX,100,37,,,85.6,,,,,,
2025-07-07 23:01,HL8003,KAL408,YBBN,RKSI,91,24,,,,,,,,,
2025-07-07 17:14,HL8026,KAL952,OMDB,RKSI,108,42,,,,,,,,,
2025-07-07 16:16,HL7710,KAL672,WMKK,RKSI,101,38,,,,,,,,,
2025-07-07 13:27,HL8027,KAL696,VNKT,RKSI,101,36,,,,,,,,,
2025-07-07 11:22,HL8003,KAL407,RKSI,YBBN,105,37,,,90.6,,,,,,
2025-07-07 10:26,HL7709,KAL1312,RKPC,RKSS,99,34,,,,,,,,,
2025-07-07 9:54,HL7586,KAL1350,RKPC,RKSS,102,37,,,,,,,,,
2025-07-07 8:27,HL7587,KAL489,RKSI,VYYY,97,28,,,93.4,,,,,,
2025-07-07 8:21,HL7554,KAL485,RKSI,VVPQ,102,38,,,86.4,,,,,,
2025-07-07 5:03,HL8027,KAL695,RKSI,VNKT,100,36,,,86.8,,,,,,
2025-07-07 5:01,HL8003,KAL198,ZMCK,RKSI,104,35,,,,,,,,,
2025-07-07 4:59,HL7701,KAL812,ZLXY,RKSI,102,29,,,,,,,,,
2025-07-07 4:47,HL7585,KAL828,ZGSZ,RKSI,103,34,,,,,,,,,
2025-07-07 4:42,HL8026,KAL951,RKSI,OMDB,102,38,,,86.4,,,,,,
2025-07-07 2:36,HL7584,KAL1188,RKPC,RKSS,100,33,,,,,,,,,
2025-07-07 1:32,HL7709,KAL1174,RKPC,RKSS,99,35,,,,,,,,,
2025-07-07 0:12,HL7586,KAL1150,RKPC,RKSS,102,38,,,,,,,,,
